Category: All categories

Month,cash grant: (Barisal Division),cash grant: (Barisal Division),army: (Barisal Division),Email: (Barisal Division)
2018-12,0,0,45,42
2019-01,0,0,33,39
2019-02,0,0,48,40
2019-03,0,0,26,83
2019-04,0,0,31,61
2019-05,0,0,27,65
2019-06,0,0,29,29
2019-07,0,0,0,56
2019-08,0,0,40,60
2019-09,0,0,29,36
2019-10,0,0,36,43
2019-11,0,0,40,46
2019-12,0,0,43,41
2020-01,0,0,41,35
2020-02,0,0,28,44
2020-03,0,0,35,41
2020-04,0,0,30,42
2020-05,0,0,27,39
2020-06,0,0,31,61
2020-07,0,0,31,65
2020-08,0,0,47,50
2020-09,0,0,37,54
2020-10,0,0,40,54
2020-11,0,0,61,36
2020-12,0,0,68,46
2021-01,0,0,52,36
2021-02,0,0,35,32
2021-03,0,0,28,40
2021-04,0,0,30,38
2021-05,0,0,37,33
2021-06,0,0,26,43
2021-07,0,0,29,30
2021-08,0,0,39,32
2021-09,0,0,35,28
2021-10,0,0,29,28
2021-11,0,0,31,35
2021-12,0,0,42,27
2022-01,0,0,48,31
2022-02,0,0,35,35
2022-03,0,0,39,38
2022-04,0,0,32,42
2022-05,0,0,25,43
2022-06,0,0,36,41
2022-07,0,0,36,36
2022-08,0,0,31,38
2022-09,0,0,30,50
2022-10,0,0,31,44
2022-11,0,0,20,46
2022-12,0,0,37,31
2023-01,0,0,28,29
2023-02,0,0,31,32
2023-03,0,0,32,33
2023-04,0,0,22,35
2023-05,0,0,17,41
2023-06,0,0,25,38
2023-07,0,0,25,34
2023-08,0,0,22,41
2023-09,0,0,21,33
2023-10,0,0,25,32
2023-11,0,0,22,38
2023-12,0,0,44,29
2024-01,0,0,40,34
2024-02,0,0,28,34
2024-03,0,0,23,38
2024-04,0,0,22,25
2024-05,0,0,21,31
2024-06,0,0,19,27
2024-07,0,0,22,28
2024-08,0,0,42,33
2024-09,0,0,28,33
2024-10,0,0,25,33
2024-11,0,0,36,36
2024-12,0,0,34,34
2025-01,0,0,25,33
2025-02,0,0,18,31
2025-03,0,0,20,27
2025-04,0,0,20,31
2025-05,0,0,23,26
2025-06,0,0,18,35
2025-07,0,0,22,29
2025-08,0,0,24,30
2025-09,0,0,26,29
